WARNING: naive/sim/testbench.v:55: $readmemh(naive/sim/inst_rom.data): Not enough words in the file for the requested range [0:1023].
VCD info: dumpfile naive_cpu.vcd opened for output.
Time:               975000, PC: 0000001a, Inst: 00110113, x1:         91, x2:         20, x3:        101
Time:               985000, PC: 0000001e, Inst: ffbff06f, x1:         91, x2:         20, x3:        101
Time:               995000, PC: 00000022, Inst: 800002b7, x1:         91, x2:         20, x3:        101
Time:              1005000, PC: 00000014, Inst: 00000013, x1:        111, x2:         20, x3:        101
Time:              1015000, PC: 00000018, Inst: 00110113, x1:        111, x2:         21, x3:        101
Time:              1025000, PC: 0000001c, Inst: ffbff06f, x1:        111, x2:         21, x3:        101
Time:              1035000, PC: 00000020, Inst: 800002b7, x1:        111, x2:         21, x3:        101
Time:              1045000, PC: 00000012, Inst: 00000013, x1:        111, x2:         21, x3:        101
Time:              1055000, PC: 00000016, Inst: 002080b3, x1:        111, x2:         22, x3:        101
Time:              1065000, PC: 0000001a, Inst: 00110113, x1:        111, x2:         22, x3:        101
Time:              1075000, PC: 0000001e, Inst: ffbff06f, x1:        111, x2:         22, x3:        101
Time:              1085000, PC: 00000022, Inst: 800002b7, x1:        111, x2:         22, x3:        101
Time:              1095000, PC: 00000014, Inst: 00000013, x1:        133, x2:         22, x3:        101
Time:              1105000, PC: 00000018, Inst: 00110113, x1:        133, x2:         23, x3:        101
Time:              1115000, PC: 0000001c, Inst: ffbff06f, x1:        133, x2:         23, x3:        101
Time:              1125000, PC: 00000020, Inst: 800002b7, x1:        133, x2:         23, x3:        101
Time:              1135000, PC: 00000012, Inst: 00000013, x1:        133, x2:         23, x3:        101
Time:              1145000, PC: 00000016, Inst: 002080b3, x1:        133, x2:         24, x3:        101
Time:              1155000, PC: 0000001a, Inst: 00110113, x1:        133, x2:         24, x3:        101
Time:              1165000, PC: 0000001e, Inst: ffbff06f, x1:        133, x2:         24, x3:        101
Time:              1175000, PC: 00000022, Inst: 800002b7, x1:        133, x2:         24, x3:        101
Time:              1185000, PC: 00000014, Inst: 00000013, x1:        157, x2:         24, x3:        101
Time:              1195000, PC: 00000018, Inst: 00110113, x1:        157, x2:         25, x3:        101
Time:              1205000, PC: 0000001c, Inst: ffbff06f, x1:        157, x2:         25, x3:        101
Time:              1215000, PC: 00000020, Inst: 800002b7, x1:        157, x2:         25, x3:        101
Time:              1225000, PC: 00000012, Inst: 00000013, x1:        157, x2:         25, x3:        101
Time:              1235000, PC: 00000016, Inst: 002080b3, x1:        157, x2:         26, x3:        101
Time:              1245000, PC: 0000001a, Inst: 00110113, x1:        157, x2:         26, x3:        101
Time:              1255000, PC: 0000001e, Inst: ffbff06f, x1:        157, x2:         26, x3:        101
Time:              1265000, PC: 00000022, Inst: 800002b7, x1:        157, x2:         26, x3:        101
Time:              1275000, PC: 00000014, Inst: 00000013, x1:        183, x2:         26, x3:        101
Time:              1285000, PC: 00000018, Inst: 00110113, x1:        183, x2:         27, x3:        101
Time:              1295000, PC: 0000001c, Inst: ffbff06f, x1:        183, x2:         27, x3:        101
Time:              1305000, PC: 00000020, Inst: 800002b7, x1:        183, x2:         27, x3:        101
Time:              1315000, PC: 00000012, Inst: 00000013, x1:        183, x2:         27, x3:        101
Time:              1325000, PC: 00000016, Inst: 002080b3, x1:        183, x2:         28, x3:        101
Time:              1335000, PC: 0000001a, Inst: 00110113, x1:        183, x2:         28, x3:        101
Time:              1345000, PC: 0000001e, Inst: ffbff06f, x1:        183, x2:         28, x3:        101
Time:              1355000, PC: 00000022, Inst: 800002b7, x1:        183, x2:         28, x3:        101
Time:              1365000, PC: 00000014, Inst: 00000013, x1:        211, x2:         28, x3:        101
Time:              1375000, PC: 00000018, Inst: 00110113, x1:        211, x2:         29, x3:        101
Time:              1385000, PC: 0000001c, Inst: ffbff06f, x1:        211, x2:         29, x3:        101
Time:              1395000, PC: 00000020, Inst: 800002b7, x1:        211, x2:         29, x3:        101
Time:              1405000, PC: 00000012, Inst: 00000013, x1:        211, x2:         29, x3:        101
Time:              1415000, PC: 00000016, Inst: 002080b3, x1:        211, x2:         30, x3:        101
Time:              1425000, PC: 0000001a, Inst: 00110113, x1:        211, x2:         30, x3:        101
Time:              1435000, PC: 0000001e, Inst: ffbff06f, x1:        211, x2:         30, x3:        101
Time:              1445000, PC: 00000022, Inst: 800002b7, x1:        211, x2:         30, x3:        101
Time:              1455000, PC: 00000014, Inst: 00000013, x1:        241, x2:         30, x3:        101
Time:              1465000, PC: 00000018, Inst: 00110113, x1:        241, x2:         31, x3:        101
Time:              1475000, PC: 0000001c, Inst: ffbff06f, x1:        241, x2:         31, x3:        101
Time:              1485000, PC: 00000020, Inst: 800002b7, x1:        241, x2:         31, x3:        101
Time:              1495000, PC: 00000012, Inst: 00000013, x1:        241, x2:         31, x3:        101
Time:              1505000, PC: 00000016, Inst: 002080b3, x1:        241, x2:         32, x3:        101
Time:              1515000, PC: 0000001a, Inst: 00110113, x1:        241, x2:         32, x3:        101
Time:              1525000, PC: 0000001e, Inst: ffbff06f, x1:        241, x2:         32, x3:        101
